;K;Trefferquote;Genauigkeit
0;1.0;0.03752829833153685;0.4619625137816979
1;2.0;0.06340633320730976;0.4071113561190739
2;3.0;0.08240093600287642;0.37045203969129
3;4.0;0.09776744060549251;0.34660970231532523
4;5.0;0.11241475512936554;0.32723263506063954
5;6.0;0.1253800190454148;0.311742006615215
6;7.0;0.13613989260136608;0.2984722003465113
7;8.0;0.1461740676945718;0.286590407938258
8;9.0;0.15568273317225254;0.27606272203846627
9;10.0;0.1642924866449972;0.26697905181918413
10;15.0;0.19789842491799425;0.23002572583608968
11;20.0;0.22562961879678076;0.20700110253583243
12;25.0;0.24937153389890157;0.18965821389195153
13;30.0;0.26985763068935087;0.17601984564498346
14;35.0;0.28767184251197075;0.16487635848165066
15;40.0;0.30542859476534334;0.15596747519294374
16;45.0;0.3198926058852474;0.14723753521989466
17;50.0;0.33501167910183777;0.1400992282249173
18;60.0;0.3618909380682857;0.12881293642043365
19;70.0;0.3866481802943221;0.1199558985667034
20;80.0;0.4074177489711801;0.11225882028665932
21;90.0;0.4270035620360733;0.10548205316672792
22;100.0;0.4461181270771554;0.09999448732083792
23;200.0;0.5736348351310863;0.06809536934950386
24;300.0;0.6562514090149221;0.05310547592796767
25;400.0;0.7127101828698152;0.044102811466372654
26;500.0;0.7585567966792754;0.03803307607497243
27;600.0;0.7977096505265829;0.03354740904079383
28;700.0;0.8309967747308887;0.03004882658686408
29;800.0;0.8579173122908799;0.027242282249173102
30;900.0;0.8816768760419975;0.024930785250520643
31;1000.0;0.9021964974094064;0.023000551267916208
32;1100.0;0.9231864703200809;0.021389696301493438
33;1200.0;0.9409483572776084;0.01995314222712238
34;1300.0;0.9571931700038108;0.018689254516156387
35;1400.0;0.969771823763413;0.01755985194518822
36;1500.0;0.982549498801901;0.01654685777287762
37;1600.0;0.9897472647635724;0.015608806504961412
38;1700.0;0.9948981914580365;0.01476619754847915
39;1800.0;0.9988329071898046;0.013990567193433785
