;K;Trefferquote;Genauigkeit
0;1.0;0.036723880754974264;0.4647188533627343
1;2.0;0.06144530656829491;0.4098676957001103
2;3.0;0.07783049412056875;0.3643880926130099
3;4.0;0.0950662325307899;0.3420617420066152
4;5.0;0.10793404888037345;0.32050716648291067
5;6.0;0.11945537565270262;0.3036567438441749
6;7.0;0.1304680506656515;0.28965191368719484
7;8.0;0.1409180221967891;0.2787348401323043
8;9.0;0.1487050130332052;0.26699742741639104
9;10.0;0.15763899218200042;0.25777287761852263
10;15.0;0.19314720864694487;0.22410878353546493
11;20.0;0.21878654756900537;0.19955898566703417
12;25.0;0.2418287822025049;0.1819184123484013
13;30.0;0.26042299572404454;0.16778757809628814
14;35.0;0.278446103645;0.15703260355961568
15;40.0;0.29574394602363757;0.148180815876516
16;45.0;0.3089815865674729;0.1404263138552003
17;50.0;0.32173143474123356;0.13375964718853364
18;60.0;0.3484015021691732;0.1230981256890849
19;70.0;0.3705446237489459;0.11468735233895101
20;80.0;0.3923860553664704;0.10794514884233739
21;90.0;0.4120402329012456;0.10183755972069092
22;100.0;0.4303197241850902;0.0966593164277839
23;200.0;0.5629991279650616;0.0682717750826902
24;300.0;0.6489371572372001;0.05439176773245131
25;400.0;0.7113052470909579;0.04546030871003308
26;500.0;0.7599887373495254;0.03910474090407939
27;600.0;0.7971210223678903;0.03422730613744947
28;700.0;0.8258935383669888;0.030466215151992437
29;800.0;0.8540485438672037;0.02748277287761852
30;900.0;0.8790209095084575;0.02507227734901384
31;1000.0;0.9008830059540021;0.023084343991179715
32;1100.0;0.9193262477603855;0.02138217901172697
33;1200.0;0.9383755932141148;0.019947170158030138
34;1300.0;0.9529372574882855;0.018664659486048684
35;1400.0;0.9676687064595182;0.017543313907702
36;1500.0;0.980507472331768;0.016545387725101068
37;1600.0;0.9886164795509598;0.015609495589856671
38;1700.0;0.9954253934015916;0.014767170374213634
39;1800.0;0.9990056574565946;0.013990567193433785
