;K;Trefferquote;Genauigkeit
0;1.0;0.0346922670283781;0.43329658213891953
1;2.0;0.05884765682676125;0.38588754134509373
2;3.0;0.07559604930690897;0.3484013230429988
3;4.0;0.08830148855920361;0.32001102535832415
4;5.0;0.0991933533752167;0.29911797133406837
5;6.0;0.10882059934186959;0.28077912532157295
6;7.0;0.11813149290953029;0.26799495983619465
7;8.0;0.12690577121258512;0.2565463065049614
8;9.0;0.13450668594355816;0.24660051451672182
9;10.0;0.14159630628125677;0.23781697905181917
10;15.0;0.17275556021961586;0.20463065049614115
11;20.0;0.1983289648318932;0.18310363836824697
12;25.0;0.22045624247231702;0.1681367144432194
13;30.0;0.2378725838460784;0.15507166482910692
14;35.0;0.25510551427782213;0.1452039691289967
15;40.0;0.2694884328244535;0.13654906284454246
16;45.0;0.28245488740291563;0.12925395075339946
17;50.0;0.29590049260347534;0.12329658213891953
18;60.0;0.3217702112286591;0.1140481440646821
19;70.0;0.34315946541421527;0.10636320680422112
20;80.0;0.36304687082288006;0.09982772877618523
21;90.0;0.3828389145964849;0.09472620360161704
22;100.0;0.39918601350416816;0.09011576626240354
23;200.0;0.5315599235482736;0.0643026460859978
24;300.0;0.621812627683592;0.05200845277471518
25;400.0;0.6868161813771949;0.04399393605292173
26;500.0;0.7383731557395903;0.03799338478500552
27;600.0;0.7802660220912229;0.03345369349503859
28;700.0;0.8161302398479714;0.02995274846432509
29;800.0;0.8437376760310755;0.027092061742006616
30;900.0;0.8684847116937514;0.024777042753889502
31;1000.0;0.8939087878551675;0.02285501653803749
32;1100.0;0.9129849571942356;0.02122882630049113
33;1200.0;0.9332309727594211;0.019827728776185227
34;1300.0;0.9505991242573437;0.018593418709184968
35;1400.0;0.9660311306810543;0.01750708773035124
36;1500.0;0.9786634418336506;0.016513414185961046
37;1600.0;0.987948710398853;0.015593302094818084
38;1700.0;0.9950600191580476;0.014762630520786043
39;1800.0;0.9989725813816221;0.013989648413573441
