;K;Trefferquote;Genauigkeit
0;1.0;0.03801855525267529;0.4768467475192944
1;2.0;0.06451515163848288;0.432194046306505
2;3.0;0.08253279530629669;0.394524072032341
3;4.0;0.09868293149026047;0.3671444321940463
4;5.0;0.11451512557918786;0.3476295479603087
5;6.0;0.1262125831207559;0.32855567805953695
6;7.0;0.13718490239218714;0.3144589699165222
7;8.0;0.14742463870491923;0.3031284454244763
8;9.0;0.15656644242072643;0.29143697170158034
9;10.0;0.1649277989708594;0.28158765159867694
10;15.0;0.19966009204453844;0.24288864388092615
11;20.0;0.2293178066832052;0.21904630650496143
12;25.0;0.2532894393879451;0.20030871003307607
13;30.0;0.2740073824682659;0.18511576626240356
14;35.0;0.29387302796708903;0.17352338951015905
15;40.0;0.31147094045290397;0.1635749724366042
16;45.0;0.3261360023218957;0.15455102290824452
17;50.0;0.33998142584174634;0.14686879823594268
18;60.0;0.36454044917969386;0.1338019110621095
19;70.0;0.38523568548757475;0.12302724838557254
20;80.0;0.4042756762906223;0.11414691289966925
21;90.0;0.42367713605274643;0.10708073012372901
22;100.0;0.43960704699423103;0.10076626240352811
23;200.0;0.5625917669564979;0.0669928335170893
24;300.0;0.641879369514427;0.052126056596839394
25;400.0;0.7009611867463709;0.043399944873208376
26;500.0;0.7510391781080986;0.03752370452039692
27;600.0;0.7913584951228912;0.03308158765159868
28;700.0;0.8282309452463761;0.029751929437706725
29;800.0;0.8593519774637673;0.027092061742006616
30;900.0;0.8834040786371615;0.02485973294132059
31;1000.0;0.9064848984387581;0.023037486218302098
32;1100.0;0.9246187745797325;0.021356620226521003
33;1200.0;0.9414215147934728;0.019901690554943036
34;1300.0;0.9566303947879834;0.01864812144856246
35;1400.0;0.9660121525950638;0.017489762167270436
36;1500.0;0.974539945936049;0.016466740169055492
37;1600.0;0.9816666192887901;0.015545755237045206
38;1700.0;0.9898045061297379;0.014725338867630845
39;1800.0;0.997634467772609;0.013988423373759646
