;K;Trefferquote;Genauigkeit
0;1.0;0.03529141836524288;0.46030871003307605
1;2.0;0.05959900742758627;0.4027012127894157
2;3.0;0.0781513625026284;0.3673281881661154
3;4.0;0.09333393194180807;0.33875413450937153
4;5.0;0.10565121002577166;0.3183020948180816
5;6.0;0.1168324617179152;0.3020029400955531
6;7.0;0.1269260223862247;0.28681682154670024
7;8.0;0.13601469297252924;0.2742557883131202
8;9.0;0.1450117969912997;0.2649148597329413
9;10.0;0.15317537465884387;0.25545755237045203
10;15.0;0.19083469889838744;0.22693862550532898
11;20.0;0.22127392528681122;0.20485115766262404
12;25.0;0.24630499434688283;0.18831312017640575
13;30.0;0.26656964823288826;0.173686144799706
14;35.0;0.28484424994484947;0.16204126634115606
15;40.0;0.3014724607155072;0.15257717750826902
16;45.0;0.3163579661625747;0.14461595001837554
17;50.0;0.3325222305784658;0.13816979051819187
18;60.0;0.3596084191963118;0.12750826901874313
19;70.0;0.38391356733879217;0.11883761222239722
20;80.0;0.40560633270160407;0.111590407938258
21;90.0;0.4257299274080086;0.10529829719465883
22;100.0;0.44228178553001624;0.09960859977949284
23;200.0;0.5699751798655994;0.0683406835722161
24;300.0;0.6521277173132183;0.05333333333333334
25;400.0;0.7078547597821413;0.04413313120176406
26;500.0;0.7561481966431898;0.03803307607497243
27;600.0;0.7959749586498853;0.03355843439911797
28;700.0;0.8305462013482826;0.0301212789415656
29;800.0;0.8572544840139067;0.027286383682469682
30;900.0;0.8824250430905328;0.02496447384539998
31;1000.0;0.904970113641062;0.023049062844542452
32;1100.0;0.9252833662885716;0.021409241254886243
33;1200.0;0.9416786950007252;0.019962330025725835
34;1300.0;0.95726010203571;0.01868713425494021
35;1400.0;0.9701055643757958;0.01755709560560718
36;1500.0;0.9822923885737324;0.016545755237045205
37;1600.0;0.9894146489991202;0.015604327453142226
38;1700.0;0.9952142891283723;0.014769116025682599
39;1800.0;0.9989271238882109;0.013992098493201028
