;K;Trefferquote;Genauigkeit
0;1.0;0.035649414623411195;0.4492833517089305
1;2.0;0.05937387672193629;0.3980154355016538
2;3.0;0.07859286900103883;0.36806321205439174
3;4.0;0.09463012190051424;0.342199558985667
4;5.0;0.10704619151640558;0.32138919514884234
5;6.0;0.11919475568089874;0.3059536934950386
6;7.0;0.12929930889955507;0.29036068672231846
7;8.0;0.13971211446103726;0.27852811466372657
8;9.0;0.14980954062724858;0.26932500306259954
9;10.0;0.15738497915911737;0.25931642778390296
10;15.0;0.19011617807808076;0.22153619992649762
11;20.0;0.2181271177163433;0.1988423373759647
12;25.0;0.2402027977223237;0.18156560088202867
13;30.0;0.260156331996127;0.16798970966556415
14;35.0;0.27720795257759806;0.1568750984406993
15;40.0;0.2929772963679107;0.14778114663726571
16;45.0;0.30783445167354756;0.1405120666421659
17;50.0;0.3209590569707965;0.1342116868798236
18;60.0;0.34543243715325034;0.12345644983461962
19;70.0;0.3670796026405369;0.11497873680894628
20;80.0;0.38710727234725467;0.10792447629547959
21;90.0;0.4063211520655734;0.10203356609089795
22;100.0;0.4249559168312171;0.09706725468577729
23;200.0;0.5582411258839902;0.06847574421168687
24;300.0;0.6492794691846083;0.05457001102535832
25;400.0;0.7108100555964024;0.04535832414553473
26;500.0;0.756648703651751;0.03891289966923925
27;600.0;0.7956530527609544;0.03408489525909592
28;700.0;0.8236915431605247;0.03031343518664357
29;800.0;0.8522571425357804;0.027419377067254683
30;900.0;0.8769522574783515;0.025020825676834495
31;1000.0;0.8986622929351324;0.023017640573318635
32;1100.0;0.9168786736452751;0.021341585646988074
33;1200.0;0.9377452097950709;0.01993292907019478
34;1300.0;0.9526291150169287;0.018652786023238062
35;1400.0;0.9673642707174815;0.017536226177350768
36;1500.0;0.9799890787707041;0.016546122748989343
37;1600.0;0.9886268930822728;0.015607428335170894
38;1700.0;0.9952562543818462;0.014766197548479151
39;1800.0;0.9990056574565946;0.013990567193433785
