;K;Trefferquote;Genauigkeit
0;1.0;0.039663403190959116;0.4735391400220507
1;2.0;0.06622166047095096;0.418412348401323
2;3.0;0.08607404403544594;0.382396177875781
3;4.0;0.10323181679407464;0.35942668136714445
4;5.0;0.11636852775286717;0.33704520396912907
5;6.0;0.12813655804593427;0.3198272693862551
6;7.0;0.1388159341884007;0.30548117813828946
7;8.0;0.14933923214802214;0.2923787210584344
8;9.0;0.15825420629100503;0.2802278574053657
9;10.0;0.16713962241334185;0.2718853362734289
10;15.0;0.2039206096484954;0.23605292171995593
11;20.0;0.2329137532526077;0.21171444321940464
12;25.0;0.2565857074041587;0.19312017640573317
13;30.0;0.27810396197807064;0.17971334068357223
14;35.0;0.2981585558297448;0.16864073082375178
15;40.0;0.31469148985633044;0.15868246968026462
16;45.0;0.3294903505656816;0.14994487320837926
17;50.0;0.34345359323466207;0.14242557883131202
18;60.0;0.3700508274103367;0.13052186696067622
19;70.0;0.3959202900720711;0.12151519924397544
20;80.0;0.4180021126774763;0.11390573318632856
21;90.0;0.43676555127585315;0.10721548450324635
22;100.0;0.45549396536825576;0.10151047409040795
23;200.0;0.5836727708219986;0.06925027563395811
24;300.0;0.6593843180939709;0.05353546490260933
25;400.0;0.7157359163328424;0.04447078280044101
26;500.0;0.7623506245137608;0.0382877618522602
27;600.0;0.8000478629276674;0.033695332598309445
28;700.0;0.8337998690670615;0.030247283036698693
29;800.0;0.8601937521817195;0.027335308710033073
30;900.0;0.8836545404186009;0.025006737718975866
31;1000.0;0.9061147903256803;0.023076626240352813
32;1100.0;0.9254969955534974;0.02143329658213892
33;1200.0;0.9425708605844207;0.019985299522234472
34;1300.0;0.9579558738518719;0.01869773556102112
35;1400.0;0.9704933360030241;0.01756418333595842
36;1500.0;0.9825188097591933;0.01654979786843072
37;1600.0;0.9895388389556428;0.01560329382579934
38;1700.0;0.9948113088549401;0.014765873273234321
39;1800.0;0.9988329071898046;0.013990567193433785
