;K;Trefferquote;Genauigkeit
0;1.0;0.038201517317596544;0.4685777287761852
1;2.0;0.06515234796136994;0.4280595369349504
2;3.0;0.08614992523995109;0.39948548327820643
3;4.0;0.1020209463236983;0.3722436604189636
4;5.0;0.11730379475325879;0.35446527012127893
5;6.0;0.12989806425119865;0.33719220874678424
6;7.0;0.14212586914399855;0.3230429988974642
7;8.0;0.1511445181769112;0.30933020948180817
8;9.0;0.16108686547969417;0.298174690677447
9;10.0;0.17014330080023524;0.2890848952590959
10;15.0;0.2034285916538674;0.24825431826534364
11;20.0;0.23169204385167136;0.22221609702315326
12;25.0;0.25601232160494075;0.2033958103638368
13;30.0;0.2789832630660527;0.1888276368981992
14;35.0;0.298097585080165;0.17640573318632854
15;40.0;0.3154514538379595;0.1662348401323043
16;45.0;0.33018176731072124;0.1570991057209359
17;50.0;0.343859945285344;0.1490738699007718
18;60.0;0.36765448713150123;0.1359702315325248
19;70.0;0.38907159589302387;0.125129941723106
20;80.0;0.40984770454709024;0.11654492833517091
21;90.0;0.42794758821878726;0.1092919269876271
22;100.0;0.44461531409437294;0.10259095920617421
23;200.0;0.5670338473010726;0.06774531422271222
24;300.0;0.6430964002321002;0.05247886806321205
25;400.0;0.7042873886686878;0.0436135611907387
26;500.0;0.7517653683173579;0.03760088202866593
27;600.0;0.7906665899073548;0.033111907386990075
28;700.0;0.8295608221064055;0.029803118601354543
29;800.0;0.859248455592556;0.027078969128996693
30;900.0;0.8834567670992105;0.024859120421413698
31;1000.0;0.9077160741853035;0.023033076074972434
32;1100.0;0.9242912052169951;0.021349102936754537
33;1200.0;0.9420301915030148;0.019909040793825796
34;1300.0;0.9556604650300601;0.018641760664913916
35;1400.0;0.9662333138935197;0.017498031186013546
36;1500.0;0.9750567818403085;0.01647372289599412
37;1600.0;0.9820399401115563;0.015548856119073869
38;1700.0;0.9895928897435156;0.01472306894091705
39;1800.0;0.9976558699387676;0.013988423373759646
