;K;Trefferquote;Genauigkeit
0;1.0;0.03409318260697287;0.43770672546857775
1;2.0;0.05686713615607267;0.39112458654906285
2;3.0;0.07599606174465232;0.36640940830576985
3;4.0;0.09097166352880479;0.34495589856670344
4;5.0;0.10513031408019466;0.33031973539140025
5;6.0;0.11736479631387771;0.31348768834987134
6;7.0;0.1282602286920358;0.3006772720113403
7;8.0;0.1388183816368789;0.28976019845644985
8;9.0;0.14770471335602994;0.27881906161950265
9;10.0;0.15667279274178217;0.26962513781697905
10;15.0;0.19285268482200124;0.23484013230429993
11;20.0;0.22251805655189477;0.21119073869900773
12;25.0;0.24540522175195473;0.19223814773980155
13;30.0;0.26503974070582687;0.1772693862550533
14;35.0;0.2846082249645818;0.16618365096865645
15;40.0;0.3003269259458919;0.15636714443219404
16;45.0;0.31408506674408204;0.14796030871003307
17;50.0;0.32649400419606006;0.1408489525909592
18;60.0;0.3505221254174638;0.1287486218302095
19;70.0;0.3743204459160029;0.11908174515671759
20;80.0;0.39550346898207206;0.11110804851157663
21;90.0;0.4154073648392195;0.10442239372779615
22;100.0;0.432010411799513;0.09852260198456451
23;200.0;0.5611046272037697;0.06627067254685777
24;300.0;0.6383865110233086;0.05170341786108048
25;400.0;0.6976806574336495;0.04314360529217199
26;500.0;0.7472396620158932;0.037285556780595364
27;600.0;0.7896725511513247;0.032995222344726204
28;700.0;0.8275392958656955;0.029673176878248546
29;800.0;0.8574063012739178;0.02701626240352812
30;900.0;0.8843576143717421;0.02482236922699988
31;1000.0;0.907225007061481;0.022975192943770675
32;1100.0;0.9245843680738846;0.02132905683071063
33;1200.0;0.9404367325722931;0.019881936787945607
34;1300.0;0.9549732857034544;0.01861419726910355
35;1400.0;0.966679166895144;0.01748346196251378
36;1500.0;0.9745158813733428;0.016458287394340316
37;1600.0;0.9830157156745295;0.015542998897464168
38;1700.0;0.9903065058504776;0.014729554445813607
39;1800.0;0.9977170105622016;0.013989035893666544
