;K;Trefferquote;Genauigkeit
0;1.0;0.03125183557488244;0.4018743109151047
1;2.0;0.05441513643986256;0.3619073869900772
2;3.0;0.06910793147842076;0.322675486953326
3;4.0;0.08082286188358066;0.2939636163175303
4;5.0;0.09181165342422859;0.27541345093715547
5;6.0;0.10201111060236397;0.2618522601984565
6;7.0;0.11025154158609725;0.2473617892581509
7;8.0;0.11784758353854644;0.2362183020948181
8;9.0;0.12506223408046765;0.22699987749601866
9;10.0;0.1318376245473847;0.21923925027563398
10;15.0;0.16242166549209558;0.19015067989709666
11;20.0;0.1880714565173523;0.1702315325248071
12;25.0;0.21004873935719562;0.15567805953693495
13;30.0;0.2276430822454908;0.14487320837927234
14;35.0;0.2436076417546948;0.1362734288864388
15;40.0;0.2572683336205321;0.12851433296582138
16;45.0;0.2706593648116024;0.12246723018498101
17;50.0;0.2822817828240156;0.1171444321940463
18;60.0;0.3059522557668547;0.10871922087467845
19;70.0;0.3261693458127968;0.10124429043943928
20;80.0;0.3450390902043393;0.09514195148842336
21;90.0;0.36341668240094205;0.090077177508269
22;100.0;0.3796927330421681;0.08598125689084897
23;200.0;0.5167916776734828;0.06281697905181918
24;300.0;0.6131285625033598;0.05136898199191474
25;400.0;0.6802360348194886;0.043463340683572216
26;500.0;0.7317034236928734;0.0375226019845645
27;600.0;0.7741831224586858;0.033068724733553836
28;700.0;0.8100934188120282;0.029681052134194363
29;800.0;0.8390255896142124;0.02691841234840132
30;900.0;0.8663111539949702;0.0246753644493446
31;1000.0;0.8908754140350156;0.022800441014332967
32;1100.0;0.9118276528153376;0.021197754836123087
33;1200.0;0.9315508817699597;0.01979235575156193
34;1300.0;0.9491398140427277;0.01857136799253668
35;1400.0;0.9652195696073935;0.017490943455662312
36;1500.0;0.978448284559147;0.016513046674016905
37;1600.0;0.9879769676983342;0.015593991179713341
38;1700.0;0.9949599377804028;0.014765548997989491
39;1800.0;0.9989725813816221;0.013989648413573441
