;K;Trefferquote;Genauigkeit
0;1.0;0.030344259400753047;0.40352811466372657
1;2.0;0.05168669247336446;0.36218302094818083
2;3.0;0.06732948819689784;0.33039323778022783
3;4.0;0.07964239847755232;0.30691841234840134
4;5.0;0.08981192835406165;0.2885336273428886
5;6.0;0.10119788618201768;0.27581771407570743
6;7.0;0.11120356116701116;0.26523862025515826
7;8.0;0.11818256998366501;0.25316979051819183
8;9.0;0.12550952811138116;0.24359916697292663
9;10.0;0.13175190563006112;0.235226019845645
10;15.0;0.1619108415363246;0.20371187063579568
11;20.0;0.18747420691188255;0.18373759647188534
12;25.0;0.2081533334074278;0.16796030871003312
13;30.0;0.2270243935455971;0.15615582506431458
14;35.0;0.24451831920610712;0.14600724523547015
15;40.0;0.26071070345885244;0.13787210584343992
16;45.0;0.27445703928644594;0.1308710033076075
17;50.0;0.2869603644466985;0.12474090407938258
18;60.0;0.3123329558880373;0.11448915839764792
19;70.0;0.33401971536257014;0.10608757284611749
20;80.0;0.35260666617939035;0.09924889746416758
21;90.0;0.37126942712348643;0.09364204336640941
22;100.0;0.3868472955362296;0.08820286659316427
23;200.0;0.504874128538477;0.05923925027563396
24;300.0;0.5873648576583727;0.04635795663359059
25;400.0;0.6503677346688923;0.038976019845644985
26;500.0;0.7023495743992325;0.03390738699007718
27;600.0;0.7464880407249739;0.03021499448732084
28;700.0;0.7827155172635655;0.027339738541502602
29;800.0;0.8147447001003119;0.025084068357221607
30;900.0;0.8425001910712137;0.023231655028788434
31;1000.0;0.8667579579607142;0.021644983461962513
32;1100.0;0.8917403235546862;0.020351809161070464
33;1200.0;0.9136316619832364;0.01917998897464168
34;1300.0;0.9302242198891391;0.01810703078619286
35;1400.0;0.9479187479978414;0.01719640888328871
36;1500.0;0.9639067368584778;0.01633186328555678
37;1600.0;0.9773888986452222;0.015493040242557883
38;1700.0;0.9883225505605363;0.01471593488553084
39;1800.0;0.9971414089006021;0.013983523214504471
