;0 - airplane,aeroplane,plane - 10c7cdfdffe2243b88a89a28f04ce622;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - 16521a9446e3de14a6f567d4d1e09ecb;0 - bag,traveling bag,travelling bag,grip,suitcase - 22065bf26a7da50a5c4dc8ac281ba59d;0 - basket,handbasket - 2ae75c0f4bf43142e76bc197b3a3ffc0;0 - bathtub,bathing tub,bath,tub - 125720e2aad7cbae412ac8cccf0c180f;0 - bed - 1aa55867200ea789465e08d496c0420f;0 - bench - 10cfa696ba2259ccbbba142d6df53ce;0 - birdhouse - 3ee8b741d2a93a146faea4ea390b4428;0 - bookshelf - 184eb80b82bdd4e1159f1e6a557f2ea8;0 - bottle - 13d991326c6e8b14fce33f1a52ee07f2;0 - bowl - 1fbb9f70d081630e638b4be15b07b442;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 134537791c7e420180288501d9901d7b;0 - cabinet - 115e4c9a9150fe8e99dd23ec22c4943b;0 - camera,photographic camera - 22217d5660444eeeca93934e5f39869;0 - can,tin,tin can - 25c253b2e40b6f4ea61649b05d63e9bb;0 - cap - 2f347d95d4a2dae3e762cf5917cef4ef;0 - car,auto,automobile,machine,motorcar - 1089cbe82dc0e72133d7c9e122eec9b6;0 - chair - 1033ee86cc8bac4390962e4fb7072b86;0 - clock - 147df4e2a9af41fbf51f77a6d7299806;0 - computer keyboard,keypad - 3f34b7f6ef1fd8e7891aaffa5a7c7cad;0 - dishwasher,dish washer,dishwashing machine - 36b0dc42fe805430991a1c802df98c78;0 - display,video display - 12ea5095e96f9ed185d624cfcd9a37a7;0 - earphone,earpiece,headphone,phone - 2c6f04001afcce7ded85c3dc02bada79;0 - faucet,spigot - 12eb51d74f30c3c054d7082b34825ef0;0 - file,file cabinet,filing cabinet - 1880ed173d662f92c78621ab7e0ef193;0 - guitar - 1218fa3b8681bfa5d57700c05b1862d8;0 - helmet - 1cebc02c679add362f20449572a3a77c;0 - jar - 151a80ff1ad2fe11c8c4893204f16cf;0 - knife - 150ad6a5c35beb17ee79d445a3ad4fd4;0 - lamp - 1129a07c75f5a709cf004563556ddb36;0 - laptop,laptop computer - 1497a7a1871af20162360e5e854659a;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 1124d162420a75232633ff66beb9cf31;0 - mailbox,letter box - 1e4df43ee2f2da6967f9cc18b363cf72;0 - microphone,mike - 2b717a6fb2aadcf9a22dab393015702f;0 - microwave,microwave oven - 16a1355b8749dcda33f93820d08ac745;0 - motorcycle,bike - 170cfc531a4fd09fe6905ba5363784c3;0 - mug - 162201dfe14b73f0281365259d1cf342;0 - piano,pianoforte,forte-piano - 1d139c80e904584b4243f79fcf368f62;0 - pillow - 2873ef9354972727b376ecd25749b977;0 - pistol,handgun,side arm,shooting iron - 139ecc9b5ec25ea77a9772e56db4cd44;0 - pot,flowerpot - 12b90995b3054ea3a2c59a4d90e63212;0 - printer,printing machine - 1d8d5d60023482dcab0a8ebbed30d677;0 - remote control,remote - 2c6493d31849c15a75f1efca97bee05a;0 - rifle - 10cc9af8877d795c93c9577cd4b35faa;0 - rocket,projectile - 3c43ddee5e1d4723db652c825617e3be;0 - skateboard - 1d527bbed4d12817fa3bb91f4e3cd35f;0 - sofa,couch,lounge - 107bce22d72f322eedf1bb0b62653056;0 - stove - 1d032da39f25772fc99ba9ee5d4194d;0 - table - 104ebf7f96c77fb46a0faccc2a4015d8;0 - telephone,phone,telephone set - 128bb46234d7250721844676433a0aca;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 144d8038c1688e37ab3dd76bf33b0f5e;0 - tower - 1b781ad3315b36510f233dcbf8432d5;0 - train,railroad train - 17407a1c24d6a2a58d95cdb16ecced85;0 - vessel,watercraft - 1175df3d5cedc3365c00e52236fed2eb;0 - washer,automatic washer,washing machine - 2010a39c4b0c58b714b35a7d7cea7130
1;0 - airplane,aeroplane,plane - 214d7c0720b860091f21e5fbc0306e3e;0 - tower - e7a492bbc4838de285c7c66844cba238;0 - telephone,phone,telephone set - 2d26f853e710b3e894088ff49a6baac4;0 - bathtub,bathing tub,bath,tub - 1b6bbfbba694e33476c18e71fd49c4dc;0 - table - 878414eb6e86494d9a8ef44e1d2c5b75;0 - sofa,couch,lounge - 1aa55867200ea789465e08d496c0420f;0 - bench - 758b78e2ad5dfdd1edecfa50e41e5c9b;0 - washer,automatic washer,washing machine - 880a6bcedaeaed1fd095418bcfa348eb;0 - bookshelf - f595c01f296c220935c9a487bf9f4664;0 - bottle - 75bf30ec68b8477e7099d25c8e75cf58;0 - bowl - ce48ffb418b99996912a38ce5826ebb8;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 98b171ff0df70474ced1f1f28cdae790;0 - pot,flowerpot - 52de37a011a32c2fa2c59a4d90e63212;0 - chair - 92ebdd82509fd637593ebeeedbff73b;0 - can,tin,tin can - 7883b684806946276f056d414894e46d;0 - cap - 1fd62459ef715e71617fb5e58b4b0232;0 - car,auto,automobile,machine,motorcar - 21fcf7b6cfcd2c7933d7c9e122eec9b6;0 - chair - 55192bc667582ebb83d21872be197422;0 - clock - 31e745ce313c7a786463df620b7b4cbc;0 - computer keyboard,keypad - 657c0de244576d26add3e496533730f;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - ecfb9655edf2b5297160646d65ba4383;0 - display,video display - d8142f27c166cc21f103e4fb531505b4;0 - lamp - 6918fb9f51d1dc3dba9ea396e14c59f2;0 - table - d6b61af7935d36a6f0aeabfdcb4e1dd9;0 - cabinet - bc1298b1c55849b14e82b8d74b98baba;0 - guitar - 663dc9c3e5f11e44d57700c05b1862d8;0 - helmet - f0a1e3c919471b2819fa27f3bdd7d71c;0 - jar - cc432b9eeeb02485a6a06826583046ba;0 - telephone,phone,telephone set - 295d6f0caa702a1a2f58405e4baaa2ed;0 - lamp - eb0d19ccdeb98cff88e7662971dc736f;0 - laptop,laptop computer - a702d347f32e0d3a229fe85eb79d32b;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - ab70b452a7ba1c445f46e754938b29e8;0 - chair - 2bfa0be90c15bfa0b82cf928f6ed5338;0 - lamp - a524e5a1d81df32b68b4a15ea963e059;0 - bathtub,bathing tub,bath,tub - 90abc75db76e80e244221bef0fa3c36b;0 - motorcycle,bike - c43742bc6e7dd467e8e23c8de25a6ff4;0 - mug - 24651c3767aa5089e19f4cee87249aca;0 - piano,pianoforte,forte-piano - a5e01dbc483964989ff9b70e6ed76515;0 - bag,traveling bag,travelling bag,grip,suitcase - 157fa29bcf6b890d76bb31db0358e9c6;0 - car,auto,automobile,machine,motorcar - 38334022b922a9d4e7540f431cab4686;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - cc8bc88b246896e92f8244e4db35c973;0 - washer,automatic washer,washing machine - e0bb2eefa09251a6149c1768202b4e64;0 - telephone,phone,telephone set - cd7e6ab98a2d090099b101e0ce243aa5;0 - rifle - c07f9e5e064bd0ef93c9577cd4b35faa;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 9080b08716a2be41e47833b310955a9f;0 - skateboard - a6d79366eefbfa6df9034ea5f524d56a;0 - chair - 8ce6f67b8683c0126db434563c7f5ea3;0 - washer,automatic washer,washing machine - e0bb2eefa09251a6149c1768202b4e64;0 - table - 843713faa2ee00cba5d9ad16964840ab;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 128bb46234d7250721844676433a0aca;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 144d8038c1688e37ab3dd76bf33b0f5e;0 - mailbox,letter box - be7157be54725e76cf105027cea05a42;0 - train,railroad train - 7ae6c3c5d9518a5e982c7c6a3539d1c;0 - table - 2ef012ddcf1cca54f51f77a6d7299806;0 - dishwasher,dish washer,dishwashing machine - dd4cb99f1f210b196e25f3efedf6785f
2;0 - guitar - ca3930d49357ef676d9376f644442e99;0 - helmet - 20ef9affd966bb53727b087f26084eb;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 2d26f853e710b3e894088ff49a6baac4;0 - bowl - 92f04b8d36c98d18221d647283ba1e26;0 - clock - e1275afba2cf3718d5e4ad512ec499a0;0 - sofa,couch,lounge - 88d523dbcd94be8a4af957103f4767ac;0 - bench - 4c26d27e41726d87f359d99f906f117a;0 - washer,automatic washer,washing machine - 969c60ef5f2c2fe696d5fa1ee6ada8d1;0 - bookshelf - 6081348fd96b21c3eca22c501ad0a77a;0 - bottle - b8fd592b4b5dcaa41aa761bcc4793321;0 - bowl - 95ac294f47fd7d87e0b49f27ced29e3;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 498d3ec19a132718bda733a39f84326d;0 - pot,flowerpot - 6957f3429308af2781faebbdea6bd9be;0 - table - b7821e69687d767aab610b0c94236463;0 - mug - 127944b6dabee1c9e20e92c5b8147e4a;0 - cap - ed352b53b17b6119e762cf5917cef4ef;0 - car,auto,automobile,machine,motorcar - 29fc55965346a53733d7c9e122eec9b6;0 - chair - eb9851403aca75937d395837145ded71;0 - clock - a0cac1c1e4de1434f51f77a6d7299806;0 - computer keyboard,keypad - 72d5aad0fbca8996ef04aec0d9ffcd31;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 9f7eb24e82020dcf40df330a2f73b17c;0 - display,video display - 17226b72d812ce47272b806070e7941c;0 - computer keyboard,keypad - 72d9a4452f6d58b5a0eb5a85db887292;0 - lamp - 2f345ba66e683c2bc5a208307819a3a1;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 60d58e77382f081a69d22ff82177f51b;0 - guitar - f146c58eaa06f5e4d57700c05b1862d8;0 - mug - dfa8a3a0c8a552b62bc8a44b22fcb3b9;0 - jar - cec74e921815d1323785c1af944402a3;0 - display,video display - ab729d209e3ebe2fb3cfe9e599b99e13;0 - lamp - 273314626729b1e973222d877df1ecac;0 - laptop,laptop computer - a17cf326705a6443a09a37cf78d1b866;0 - cabinet - 27e65f34c3b8dd7f490ad276cd2af3a4;0 - table - 9e3514da2268557855931d119219022;0 - lamp - f40c7b19234b07c2c8687ff9b0b4e4ac;0 - microwave,microwave oven - eda35c1f6db60a9557b6140a0b345e1d;0 - motorcycle,bike - a9399a50fcb25209429f1c522640e6f0;0 - mug - ea33ad442b032208d778b73d04298f62;0 - piano,pianoforte,forte-piano - b2203c3500e0040a1baefda9f87f2d8c;0 - display,video display - e817263a3acf985ff6c7cc6dd504006d;0 - vessel,watercraft - b7a3a8c9e2e1f0eeb569bc98d0a027c6;0 - pot,flowerpot - aff6b11c514f2c07f9aec59741c69cf7;0 - stove - 1d032da39f25772fc99ba9ee5d4194d;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - cd7e6ab98a2d090099b101e0ce243aa5;0 - rifle - d0062058d4eeaafe494dcb92319db1d8;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 80000b93ffb0ab8ae47833b310955a9f;0 - skateboard - abdc4a823b1f78c397f47f3057557cbe;0 - chair - 58b8bc3981302103b78c56df3d6a2934;0 - printer,printing machine - 1d8d5d60023482dcab0a8ebbed30d677;0 - table - 70a17261539dd92fce1403db8f7dbbbb;0 - telephone,phone,telephone set - bf8e0289ba786e97487d18402ebe69d5;0 - telephone,phone,telephone set - f48acd0450cf96cde6b9b562e2cde99e;0 - lamp - d6c6665366854e6abec99d5b4657d5b1;0 - train,railroad train - 82d34870d2b5b59b5176b359c67b3356;0 - chair - da6cbcac794d377df9111ef49c078dbe;0 - dishwasher,dish washer,dishwashing machine - a62b6a19d2093bc91cbd656f2f1bc2ff
3;0 - rifle - e6ef0c7bb7c73e4bad4c449f974dc221;0 - helmet - a452a0857cb46b5226eabe1cca3e850;0 - car,auto,automobile,machine,motorcar - 650238554cb16926bda733a39f84326d;0 - bathtub,bathing tub,bath,tub - 450fa1bb2cc0ee578c0a569dc2eaa6c1;0 - bathtub,bathing tub,bath,tub - a9d03e90d548a19d412ac8cccf0c180f;0 - sofa,couch,lounge - a6ee2e98e8ae755f37af16b2893f1d4;0 - table - 4606eee54ad02693e06d804f36424ced;0 - mailbox,letter box - 757c1d231149dec8f1ad51d1ecbb963a;0 - cabinet - 6081348fd96b21c3eca22c501ad0a77a;0 - bottle - 8707d78855e8cce1ed51290fb4dc2857;0 - bowl - 36ca3b684dbb9c159599371049c32d38;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 386ba34d362af65e699f58a238068686;0 - dishwasher,dish washer,dishwashing machine - 195c883e2d5e63c76621db2c3226f08;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - 9b5eeb473448827ff155d75bbf62b80;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - f2c7e1b8112282dbcb2a965e75be701c;0 - bowl - be8a2f8460a963426a6acc5f155f864;0 - car,auto,automobile,machine,motorcar - 12243301d1c8148e33d7c9e122eec9b6;0 - chair - 865551d21a4b2c09ad484915511ccff6;0 - clock - 327182214670d929f51f77a6d7299806;0 - telephone,phone,telephone set - 1105c21040f11b4aec5c418afd946fad;0 - clock - 2f484b80a9a0f8a1c1bd423f37647123;0 - display,video display - 45cae393b431f75e8873c005ead1ead8;0 - display,video display - 877cadd597775369ec059109909662d2;0 - table - 7543553927036b0352b7768d51b257d9;0 - cabinet - 5f2f90d83db6bcafe7e684d25d4dcaf0;0 - guitar - fdb74c27462dfd837c481698bd5233b4;0 - helmet - d7a860627e8ba083ec3df6ee3b84fcd3;0 - jar - e7c29b8c7709187d42526f5fcee84e09;0 - clock - e6d392fdd687188981d125a53e3295bb;0 - lamp - bb3c2fba4e1b712357ddce8e42aa6e90;0 - laptop,laptop computer - ce13a85fb71694fcb611830890d7aa97;0 - cabinet - c55a7e2cb3ab9aea8ca4aeb5e3b33af7;0 - mailbox,letter box - 85935473b4685e24769119a7d27b495b;0 - lamp - 1728c555de071aad3ea96ac97db63fa8;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 46acc0258b449d18f01503c3476a4944;0 - rifle - 5658068646336771cba7035647fbacdf;0 - mug - bcb6be8f0ff4a51872e526c4f21dfca4;0 - piano,pianoforte,forte-piano - 3696bdc9797130c56599aae9284a50cb;0 - camera,photographic camera - 936a458fdb8eb12171dc2053392a6e6f;0 - motorcycle,bike - 8a5175f5b9be6f34e91fe7b067344e07;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 29c4c3d205d4d1dad4ea1a05271e100f;0 - washer,automatic washer,washing machine - e3c637980c8c22eaf4a3d771dd0a0ffa;0 - telephone,phone,telephone set - 922380f231a342cf388f6c7a9d3e1552;0 - rifle - 2eea6b3bddd73b1be768fc5ed1ac23d0;0 - vessel,watercraft - a35aea08a3cb9391fc1bbbe626c79a7d;0 - skateboard - c171d90db4c4ba56cdb1768065dafd0c;0 - chair - 67ce9e1ac8e41027bd16d4490a10a752;0 - washer,automatic washer,washing machine - b0b77a2d6816230c99bb3947ecdf7d2b;0 - table - 4126746447b424197fcb8ee54b1a951;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - bf8e0289ba786e97487d18402ebe69d5;0 - telephone,phone,telephone set - e8508eef82fb9163a1288f74f9304471;0 - lamp - 5c5119a226e1ce9934804d261199e1bf;0 - train,railroad train - dd17c94e4b9b250ce982c7c6a3539d1c;0 - bathtub,bathing tub,bath,tub - 4a41317b5baa2d52c658b057b1ffe06f;0 - dishwasher,dish washer,dishwashing machine - 45eb04a33128a2065dc3653f8341633a
4;0 - rifle - 34eb6b0af5ae9f26d957eaf7f4edb205;0 - lamp - 525109ea19096fe8eeee03ae21af2d39;0 - telephone,phone,telephone set - ff8676e76a0fd471fc115be4ff5cfb9e;0 - bowl - c1bad5cc2d9050e48aee29ee398d36ed;0 - cabinet - 663c290dd2e02f03e3f8b005c90fbce8;0 - sofa,couch,lounge - a4c8e8816a1c5f54e6e3ac4cbdf2e092;0 - table - e0eb9f5421ef2c4584904c716bc3b619;0 - birdhouse - ef5c972369cdd9bef953ec7f4b3cdf4b;0 - cabinet - 2af2279b9331aa9916c6f599d5622764;0 - bottle - 13544f09512952bbc9273c10871e1c3d;0 - bowl - b5d1f064841b476dba5342d638d0c267;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 2ddf7274d729c372c98c13d6112727de;0 - cabinet - 114b810af4a847ca99dd23ec22c4943b;0 - chair - 1ad766f9e95ce308aa425ecb668e59de;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - b2af20dc171d40e4d4e62d99c536bbaf;0 - bathtub,bathing tub,bath,tub - 15c43d52c1c50d373321831d2245cf06;0 - car,auto,automobile,machine,motorcar - 151bebc457224c2733d7c9e122eec9b6;0 - chair - a58f8f1bd61094b3ff2c92c2a4f65876;0 - telephone,phone,telephone set - 35f584cf8fd22794e4b68d3b17c43658;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 1105c21040f11b4aec5c418afd946fad;0 - washer,automatic washer,washing machine - 38ff66fecee0d18f4f782ac57aea97b;0 - display,video display - 6011d9bbe9b04cf7b6b6751f39e7b3e5;0 - guitar - 2b394d7e325c0ff5f48dc85fa744ff46;0 - lamp - d5815f747626cadef912acc8c54e7fc1;0 - bathtub,bathing tub,bath,tub - d498df3b7c7f53c6f74d83b4be105200;0 - guitar - 27e36c61a12d6df8d57700c05b1862d8;0 - mug - 599e604a8265cc0a98765d8aa3638e70;0 - jar - c03bbfcd33f310155076fe09061f1a7a;0 - telephone,phone,telephone set - eed72e5bc3dc4e85150c05906b260c9e;0 - lamp - 3a5a0f4c78e17b284f0c4075db76b7c;0 - laptop,laptop computer - eeca77a4ae8aa0ce3bef19ecc8621d89;0 - cabinet - d8bf8dcbd5cae04094beb1f48b8b494b;0 - display,video display - d3bc26796e7fcc6b3956af37bf042355;0 - lamp - e38e89e852fe924d957f81d76123f1a7;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - b6f154678c06f537db24fbbf172c2159;0 - pistol,handgun,side arm,shooting iron - 14fe99eb0c105a90fc9c56fb43681c11;0 - mug - c2e411ed6061a25ef06800d5696e457f;0 - piano,pianoforte,forte-piano - 3fb81f5f3a3f0d69be3ca6e34dba44de;0 - display,video display - 2772ad703e5d4b73cf6f327fca156fb;0 - car,auto,automobile,machine,motorcar - ef7f623beb7260287b5adf84ce6f7865;0 - train,railroad train - bd06d7b322a2c65147367565b9fdaec5;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 2454758b9629441cf322c3e7acea58f1;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 922380f231a342cf388f6c7a9d3e1552;0 - rifle - 966fb54dcc7bf00ba3fb48700889ab3a;0 - train,railroad train - 9ce7b859b306c3224b0b2e6e63122009;0 - skateboard - 7a8b7d5d288742546fee3d712d650ac2;0 - chair - 5d6a45296fa6c1ff7c21c7b1e8b3e343;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - 7a73f3cf362ef4fa619b1cc3b6756f94;0 - table - 60ebae123ae653e2a4385667567ce9e5;0 - telephone,phone,telephone set - 3dc95447a57f8d06c1e615a94e798da1;0 - telephone,phone,telephone set - e33124aa016bd1f19c1db271ad9472a7;0 - airplane,aeroplane,plane - 7977f492ebf2c1d5ce78be835f7c74e3;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - d3e9d6e0a9a01fade1da81584e31b667;0 - table - 2563d1fd68ae9d77ac803318d4b3b4b2;0 - dishwasher,dish washer,dishwashing machine - b904af827973a59977e1c4f3e3547f0c
5;0 - rifle - 67c285f5c701d6cd8ea092ebe8f64ae8;0 - helmet - 9c5d16afab1cd899d1f50c75142faa8a;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - ff8676e76a0fd471fc115be4ff5cfb9e;0 - bowl - 89bde5319b8a7de044841730d607e227;0 - display,video display - f06cab8286ad4f7cecb44abbf263be08;0 - sofa,couch,lounge - aa27de991298fb2eb3a010e5a9dcf3a8;0 - airplane,aeroplane,plane - e7158ecb09050b03873ec74c119307b9;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 22e8cd8675ab57e26d2f7f4796305f20;0 - cabinet - 9178722c21d03d3ca12fd542784d2033;0 - bottle - 56c23ba1699f6294435b5a0263ddd2e2;0 - bowl - d2e1dc9ee02834c71621c7edb823fc53;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 2a46fe04fdd20bfdbda733a39f84326d;0 - bathtub,bathing tub,bath,tub - 896808e1daecd437d72076e39d62f17c;0 - table - f864677894410315ab610b0c94236463;0 - bottle - f03f9704001d2055ab8a56962d772d13;0 - pot,flowerpot - a8b41d9e570e2a8e7afd114af4bb7b4b;0 - car,auto,automobile,machine,motorcar - 48071634bdeb66e271a126804ae24042;0 - chair - 49a3b0242c13f92da6fee8e2140acec9;0 - telephone,phone,telephone set - fa9b007a326be6975c8fa950032e0987;0 - telephone,phone,telephone set - 45e907ca47e0122c1752adf979b66914;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - e30bfb0ab456101cc0b5947ffe18a468;0 - display,video display - 288a8917e51c57deb0957d845ac33749;0 - table - 19c0e93cdca6433fb8d33c22fd35264c;0 - table - e9faaa484cb11948cc89f898f3cf6588;0 - cabinet - 1ae6d530ee86ee9a4d87481e09b681b3;0 - guitar - 280e5926a81270463e148e250c0340d;0 - bowl - 1f910faf81555f8e664b3b9b23ddfcbc;0 - pot,flowerpot - c03bbfcd33f310155076fe09061f1a7a;0 - telephone,phone,telephone set - 73b0bcdcf57a8a7fe8d8ad3bdef6aca2;0 - lamp - eaca02e8f065925dbaf5b49ad7809302;0 - chair - 243ab0d808fae5b76f1d1c49624bcfed;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 158f8a4ceaa281ab2bf4f773fe0e622;0 - faucet,spigot - b8d46728c6f3b0bf76d20e73c57c9a03;0 - lamp - 308bd35d5f52de4e57b8f616df7adf9a;0 - microwave,microwave oven - 6dad0112ef18439cb7add4de9f6e92e1;0 - motorcycle,bike - 6e37615194e808d3b37378f3c85478b4;0 - washer,automatic washer,washing machine - 933dc825712acc8ab5a3b8119a3da34a;0 - piano,pianoforte,forte-piano - 1f0153042cceff37d20e6bdf4e0f4a18;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 2db3489b490b0d9e2268dda5c324173f;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 813bb87d0679eeb9e4f8604d0992a17a;0 - sofa,couch,lounge - 4d05c9f0f34e1c22715de3ea7b582d7;0 - printer,printing machine - 63c80a4444ba375bc0fa984d9a08f147;0 - telephone,phone,telephone set - 597b3a321198f0a029b6ce1cfa22349d;0 - rifle - 2fda76fc28c9133d8428b8de1af34c50;0 - rocket,projectile - 7f8f5ba0ab543cd99cc7053a5669450f;0 - skateboard - 4473c1e89500747b5cc36f190f62c41;0 - chair - 3bbcd9e945c6ceb8d3c29b715a9f3afe;0 - washer,automatic washer,washing machine - 58bc4edaefdf3b0e1db42cf774e49bf;0 - table - 5362db12d934a50719fb4103277a6b93;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 3dc95447a57f8d06c1e615a94e798da1;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - e33124aa016bd1f19c1db271ad9472a7;0 - lamp - 308bd35d5f52de4e57b8f616df7adf9a;0 - train,railroad train - b5be8fd2d66546f452470de2774d6099;0 - piano,pianoforte,forte-piano - e8e4c13587e7a5ea6c0a067418a01c18;0 - washer,automatic washer,washing machine - 60b8c29d75c28ce214b35a7d7cea7130
