;0 - airplane,aeroplane,plane - 1066b65c30d153e04c3a35cee92bb95b;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - 14a49c2b9f46faa04d6ef9ab90177563;0 - bag,traveling bag,travelling bag,grip,suitcase - 1b84dededd445058e44a5473032f38f;0 - basket,handbasket - 242e6c21d53890a236b0f2a1430e993a;0 - bathtub,bathing tub,bath,tub - 11955ce486dd9b6954d7082b34825ef0;0 - bed - 16b4dfae678239a42d470147ee1bb468;0 - bench - 1093ca7b44ac90cd902e30b4d3d9167d;0 - birdhouse - 26334c57fc4b83b543e68d98c50c8932;0 - bookshelf - 13d1ffe8682729b29af4053b8815b239;0 - bottle - 11fc9827d6b467467d3aa3bae1f7b494;0 - bowl - 188281000adddc9977981b941eb4f5d1;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 1134df3dbee4c3dc221d7b13f13a827e;0 - cabinet - 10c14b0cb76f87584da5feafe6f1c8fc;0 - camera,photographic camera - 1ab3abb5c090d9b68e940c4e64a94e1e;0 - can,tin,tin can - 17ef524ca4e382dd9d2ad28276314523;0 - cap - 1eccbbbf1503c888f691355a196da5f;0 - car,auto,automobile,machine,motorcar - 10716a366de708b8fac96522b26f7fd;0 - chair - 1016f4debe988507589aae130c1f06fb;0 - clock - 11c8463ba58a134b68661782af60b711;0 - computer keyboard,keypad - 3714f64af44a135f6d3e11439c6c22c8;0 - dishwasher,dish washer,dishwashing machine - 2666ea267824515b6a047293eefdd617;0 - display,video display - 11c041a780cd7e58e8b612d9fc824411;0 - earphone,earpiece,headphone,phone - 20e16ae7c65d81269c1db271ad9472a7;0 - faucet,spigot - 11cae04ea5d825693321831d2245cf06;0 - file,file cabinet,filing cabinet - 13d5f9d6a7464e39f0f01f1432a517c3;0 - guitar - 113b65f0e68314737c481698bd5233b4;0 - helmet - 17969fc40964dbe0288d8f1144f7979f;0 - jar - 12ec19e85b31e274725f67267e31c89;0 - knife - 13d183a44f143ca8c842482418ab083d;0 - lamp - 110b426397c707bdc9c869210ebfd6b0;0 - laptop,laptop computer - 129237ff9e4f5d5c95b5eddcdeed8f43;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 108316842b17210394a42262667addbc;0 - mailbox,letter box - 168b842e1b905547e5ffa6096479cd83;0 - microphone,mike - 1c2267e8b8a099a47457e76661a399e9;0 - microwave,microwave oven - 15ba6dd7a9ad8b12efe5f291bc2f5fd0;0 - motorcycle,bike - 12ffd15dabd7e3b596b84415a3f1393b;0 - mug - 1305b9266d38eb4d9f818dd0aa1a251;0 - piano,pianoforte,forte-piano - 18d4bd26fc3946c536244e3d0dd95a13;0 - pillow - 218f86362028a45b78f8b40f4a2ae98a;0 - pistol,handgun,side arm,shooting iron - 1226a05aba30d0987deae9192b6f5fdc;0 - pot,flowerpot - 12282e4fb29632286bd4d8addc5eb335;0 - printer,printing machine - 142a8e6cf56b63b2f31b18e68eb944af;0 - remote control,remote - 25182f6e03375c9e7b6fd5468f603b31;0 - rifle - 1068169d0f5df80e91cd21d02e676faf;0 - rocket,projectile - 2407c2684ee757e89c4176ab56cb612;0 - skateboard - 1510427efa80c92b11c7049de48f3618;0 - sofa,couch,lounge - 10552f968486cd0ad138a53ab0d038a5;0 - stove - 177fedf455e50b4d352845ab138522d8;0 - table - 103ad97126bc54f4fc5e9e325e1bd5b8;0 - telephone,phone,telephone set - 112cdf6f3466e35fa36266c295c27a25;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 11f7613cae7d973fd7e59c29eb25f02f;0 - tower - 1683c5bc839969f438cd8eb23853c009;0 - train,railroad train - 13aac1cbf34edd552470de2774d6099;0 - vessel,watercraft - 10fe40ebace4de15f457958925a36a51;0 - washer,automatic washer,washing machine - 1ab22863c5f183eab00a4eba25ea081
1;0 - airplane,aeroplane,plane - 934dd5529c22cd05bc0909d98a1ff2b4;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - 64976ee2a69d3202956c23e7ddc28c00;0 - chair - 2abe8d5b5d29ff52f7628281ecb18112;0 - basket,handbasket - 615e24df86c59f4536b0f2a1430e993a;0 - bathtub,bathing tub,bath,tub - ca63d5d8d3f1933354d7082b34825ef0;0 - chair - a10e8dc1cc9522b67a80d424f0f4074d;0 - bench - eec9e185d9596e7ed2b12aa6a0f050b3;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - b0feef9f599d41cbb3d8c1107f6ae528;0 - cabinet - 7728f0ae18c58d067e427098d75ece6a;0 - bottle - 831918158307c1eef4757ae525403621;0 - bowl - ee3b4a98683feab4633d74df68189e22;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - f0947e7dbdd0c5f1a70590fff7a7d815;0 - cabinet - 786566b66299405a4da5feafe6f1c8fc;0 - car,auto,automobile,machine,motorcar - 9609eee1c5f60dcd610425baad975046;0 - can,tin,tin can - 4cc3601af4a09418b459058f42771eff;0 - cap - 138d0b89ab5b5fa52821bf1aa3b19a;0 - car,auto,automobile,machine,motorcar - d4abda76f4db60086d07c55cf995503e;0 - chair - 4344509d0442364d3f9d6e0ade5188b0;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - f0f9a2082454542751dfe6844b6e8393;0 - computer keyboard,keypad - 1e11af6fa598cd6960113b959388060d;0 - dishwasher,dish washer,dishwashing machine - dd4cb99f1f210b196e25f3efedf6785f;0 - telephone,phone,telephone set - a857d9e7cd90163e10bc2436075f6a52;0 - earphone,earpiece,headphone,phone - 3a6dd2e7dbcdc49d7eb37dc0a59a307f;0 - chair - 9d9d69e5f2bc80a867903707764646db;0 - file,file cabinet,filing cabinet - 13d5f9d6a7464e39f0f01f1432a517c3;0 - guitar - 97e8ee1b6df404bd57700c05b1862d8;0 - display,video display - 9aea8bba40aa793d9429f6a938b3978d;0 - jar - 578096b08ef3c3534637188d1bc69cfd;0 - knife - 135f75a374a1e22c46cb8dd27ae7fcd;0 - jar - 1a953dddff37998ef0a5dc57c9d2438f;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 4e6e05676ac77f30ce029fab54b6cfbd;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - bf83a8cfb72a6208432eb33b78f3e334;0 - airplane,aeroplane,plane - a2712db5540766cdf6a602e459585636;0 - clock - e479a6ba9b2792d59c2f1b6ea824cfc;0 - table - 15ba6dd7a9ad8b12efe5f291bc2f5fd0;0 - pistol,handgun,side arm,shooting iron - 8c9e592c95f95e7c9a6e43b878d5b335;0 - mug - 633379db14d4d2b287dd60af81c93a3c;0 - piano,pianoforte,forte-piano - 599f5594764eeabe36244e3d0dd95a13;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - afa628c3dd7558be89367e7bd925ea7c;0 - table - 678f7fe1c4f977927e9fb8aa5670f37;0 - pot,flowerpot - c045cdd855fdec2b7b6fd5468f603b31;0 - file,file cabinet,filing cabinet - eeffac7af3c013f2492d9da2668ec34c;0 - telephone,phone,telephone set - 25152b4f593e5c0555940ab8fd747fc0;0 - rifle - 2689d78a4fba15bbf3998727b15249db;0 - airplane,aeroplane,plane - 29120728132e5dce42a2048a31b7df8c;0 - lamp - 908bfd876def9e43714531f0291497fd;0 - sofa,couch,lounge - cc32fde4ca022cdf965e01bcaa1587c5;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - f1cab229b68c9ac1c4dc2c94f81faffa;0 - table - 6724ae69c0bde4c09b7dad6c9c46bcf1;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 112cdf6f3466e35fa36266c295c27a25;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 11f7613cae7d973fd7e59c29eb25f02f;0 - tower - 6d43d4642c7a474638cd8eb23853c009;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - b73fd7769a870f7e52470de2774d6099;0 - car,auto,automobile,machine,motorcar - 25378c7370a06c497ef186a2ac298b0c;0 - bathtub,bathing tub,bath,tub - 6989e5532cbdbbf344221bef0fa3c36b
2;0 - airplane,aeroplane,plane - 94ce3a5ad2576e73a5cac89017eae8d1;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - f8b449eee1c8775fd2b12aa6a0f050b3;0 - sofa,couch,lounge - 2abe8d5b5d29ff52f7628281ecb18112;0 - basket,handbasket - bd11c268ebb14e2d7ae6f33544c233fe;0 - bathtub,bathing tub,bath,tub - 7d4c5f150ed81e3054d7082b34825ef0;0 - chair - 353bbd3b916426d24502f857a1cf320e;0 - bench - 2d1e8858446d1a32d2b12aa6a0f050b3;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 16e0041bffa976462d563c85edb49108;0 - bookshelf - 4cf8fd9b396d0d24868bb660c8b7e409;0 - bottle - 59d7b4e7bc3c5d9d99fbba385cc0d41d;0 - bowl - a2841256fc6fd90da518b93bb7233de6;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 68a2211cb0d8c16a9afb67dd284d342;0 - clock - cb6ee0f8931923cd4f262ad0a8c89c0;0 - clock - 5aab22188aff5a9ecd124d563222b065;0 - can,tin,tin can - 4a6ba57aa2b47dfade1831cbcbd278d4;0 - cap - 13295f09e0e9e5d4a6e67635b9d1cee5;0 - car,auto,automobile,machine,motorcar - 9d82d5874349f623d834dead2eb68d68;0 - chair - 69261d58214053d1e6c5cd45aa112726;0 - clock - d86dcc32261d58424b3c42e318f3affc;0 - computer keyboard,keypad - bde7724c6a2c984d4c7427583b874cf1;0 - cabinet - 23637357c4e5efb653c80c0a3ef7382;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - a857d9e7cd90163e10bc2436075f6a52;0 - earphone,earpiece,headphone,phone - 703dced3f9479f348a731b44a5fe7a8e;0 - chair - 74c06950e3f8d25157f40ff86fe708ff;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - f9250e29e640eff9a5f99ba0b2469cd9;0 - guitar - fc76f63343050ee1d57700c05b1862d8;0 - piano,pianoforte,forte-piano - 45166dc50bbf0315ed1c1c47436c7974;0 - jar - 9bbc7da5313433c4af93a86670701266;0 - knife - 93b1e4a02037c52e679c9e94dfb2276d;0 - motorcycle,bike - 8a9586b8eff9f3a6932abeb6e2fd4072;0 - train,railroad train - 311a3ef41603f86c3f51596dfebf9893;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 3c467fca7449a857a2b4d33761839e86;0 - airplane,aeroplane,plane - 25668f59015af0de56a7f2952cdf4b81;0 - jar - 3074ccca5d98c71c197894d64e83a327;0 - file,file cabinet,filing cabinet - 6c07ed789e414305ac477d524b05932c;0 - rifle - 8c9e592c95f95e7c9a6e43b878d5b335;0 - mug - 8f6c86feaa74698d5c91ee20ade72edc;0 - piano,pianoforte,forte-piano - e3d5f6dbff73a7a5e769f0986786b881;0 - train,railroad train - 61a269d35f68a189ceeb72b524f3e0ca;0 - table - 4d54165ac08d47dc30bbd4cddd04c77b;0 - lamp - e4201614cb3590e41735ea0e092a805a;0 - file,file cabinet,filing cabinet - c06792fff0774954492d9da2668ec34c;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 25152b4f593e5c0555940ab8fd747fc0;0 - rifle - 93112d8e6d0710e774816c28a6351828;0 - airplane,aeroplane,plane - 5fc53108f6bf2f45893f875739da1b24;0 - guitar - ca9bba09dcae4b487693a84bff425e3;0 - sofa,couch,lounge - ec4948183b308204e4d5ca1617e68f91;0 - file,file cabinet,filing cabinet - fea46326afa3180a4fb42087918269e;0 - table - 68c76bd1d8ddd433dcfcef693e7ec696;0 - telephone,phone,telephone set - c7ec332bd52f939f04143dfe595ba79;0 - telephone,phone,telephone set - ab3ebae8a44e1ae8ca47cd18decbac61;0 - tower - e3f5234bfe086a3438cd8eb23853c009;0 - train,railroad train - 97a93d1479a6382752470de2774d6099;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 3e21834bd08c078963de47aaa413f122;0 - file,file cabinet,filing cabinet - ec6fefa43577c689670bb97cf787128f
3;0 - airplane,aeroplane,plane - 376466b562217c2abc0909d98a1ff2b4;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - bf4e08fe5e07373ade5ce145a809def2;0 - airplane,aeroplane,plane - 20150c9c3038d08419bf31399c6e39e0;0 - pot,flowerpot - 3d3c8f95006cc061a2c59a4d90e63212;0 - bathtub,bathing tub,bath,tub - fcf0ef94d568f97054d7082b34825ef0;0 - chair - f53cba4a288db2d58e1400f6db70a939;0 - bench - f197553928fccdd2b12aa6a0f050b3;0 - cabinet - 60ac3a02f8c1116b5588a2543ef0b0b4;0 - bookshelf - 81a1cbc08793679e75becd8a4c3f1866;0 - bottle - a00a9d045b69171472dfe26068766359;0 - pot,flowerpot - a2841256fc6fd90da518b93bb7233de6;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - da1c8417f95440739afb67dd284d342;0 - cabinet - 38c9f4bc9c5583d7824662341ce2b233;0 - chair - c394dfc3c8573d1b19fb4103277a6b93;0 - bottle - d511899945a400b183b4ef314c5735aa;0 - cap - 6cfb76b40fc41da2a6e67635b9d1cee5;0 - car,auto,automobile,machine,motorcar - 92ff3c7b2b8b1f65e2693f33cdca907b;0 - chair - cb714c518e3607b8ed4feff97703cf03;0 - clock - afeb49c6ae3977cfcb87baa8bbd720aa;0 - computer keyboard,keypad - 3ebc2b3e6235869fc7be8dc1ce3991c2;0 - table - a5e061fc25bff768623d10a210f40a3f;0 - telephone,phone,telephone set - 43f7d0cb3f0ace029bc144914804a8be;0 - lamp - 67780176ebcb050dfe3e90bc90e90c63;0 - motorcycle,bike - 9ff5b01d1aec18b2aae529ab4a75c4af;0 - cabinet - 8b24699e1351a78ef8e7f2c38fe37243;0 - guitar - 2e4ec0874ea34a50812ca0ac90db1c07;0 - faucet,spigot - 2559df6172ff5b1a840312071e438eeb;0 - jar - d1f9e06eeb9e5fe237af722b64576c2;0 - knife - 95db800016f8fb955d33831e71fa52;0 - lamp - 441d06d5a657a5dfe7ae87d20a4fdaa5;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 2336a8ba5ba8a9f0ce029fab54b6cfbd;0 - chair - 268f73b8f57676a71732dfc96352c472;0 - mailbox,letter box - 62536cdfffbec7902e869c74025e32a8;0 - clock - ff3923d3ee5855ae13b6a765d5fd3ff9;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - f6d4918c7dd190447f45370489ca3156;0 - pistol,handgun,side arm,shooting iron - c6f8a4781d8a5b228c8cac88a8c48208;0 - cabinet - 9b34b5983bd64409e08dea88cca8641e;0 - piano,pianoforte,forte-piano - a6b26dfef15ace459e0d848896b0095f;0 - train,railroad train - dbae1cce1fb122d7dc14ba0818ee5cec;0 - sofa,couch,lounge - 5aed18ebaa1360229d51a07a5989d077;0 - lamp - 38f3a721c7ac21cb8a1a0260fe4e4cb9;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 7d2bd4d349ae34a2fcefa74f1d0bc6e6;0 - telephone,phone,telephone set - 521fa79c95f4d3e26d9f55fbf45cc0c;0 - rifle - 5a2ce6338b4e399f0fea2ee98610322;0 - airplane,aeroplane,plane - e70bd95ab764bc1b3465be15e1aa6a0c;0 - chair - a0196df591bcb5f7e404848d22e4a58b;0 - bed - a207c52399b289be9657063f91d78d19;0 - table - f585560965413925d706ecb3379aa341;0 - table - 32bbf7d09d3acd4c339797c21e8801b1;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - c7ec332bd52f939f04143dfe595ba79;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - ab3ebae8a44e1ae8ca47cd18decbac61;0 - tower - 48a1e31e57862a63ff679899febcb0d4;0 - train,railroad train - 8a147e233c90a5d52470de2774d6099;0 - car,auto,automobile,machine,motorcar - e90b0381a7c8841c1c65421fe734e7bc;0 - bathtub,bathing tub,bath,tub - 79ace304188699fd5fe7cbb6d6b5e421
4;0 - airplane,aeroplane,plane - d81042a53dd1cc5bd90bfc986bc4c94d;0 - lamp - e293003f297e155624d1b7c6bfe44fcc;0 - printer,printing machine - 36391c79c1025c3867964ba700cd97f5;0 - basket,handbasket - f870bedc47fdbd287ae6f33544c233fe;0 - bathtub,bathing tub,bath,tub - e6c56b5f2265d6423321831d2245cf06;0 - airplane,aeroplane,plane - a1e5e9561b501f2a19e06ee1b2e7b1b4;0 - bench - 6a78bd21ec72d396f155d75bbf62b80;0 - helmet - d25312c53aa9ded3b57cb9238c4c8e81;0 - bookshelf - d0739d3cc5c3549eefd584ddda1b5aa1;0 - bottle - 7778c06ab2af1121b4bfcf9b3e6ed915;0 - bowl - 571f294b5ab7e47a5517442d05421cb;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - 321c0fc84c8fc3c82d4e86573259e388;0 - cabinet - 9bcfb450ed3046a74da5feafe6f1c8fc;0 - sofa,couch,lounge - 608936a307740f5df7628281ecb18112;0 - can,tin,tin can - d511899945a400b183b4ef314c5735aa;0 - cap - 3b0a1a20ef0ce1a34c90f2ddc14dc59b;0 - car,auto,automobile,machine,motorcar - ee1d28a50a2b71e129348d14ca881f7d;0 - chair - b3fd987b330d0d2acda56795a6fbde1f;0 - bathtub,bathing tub,bath,tub - 76004a2497f3bf98581a5df406f5588;0 - computer keyboard,keypad - c680be5b4715de9cde3e0c162cb2b41b;0 - dishwasher,dish washer,dishwashing machine - cc244af17335b1af52f4523ded466b8c;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 43f7d0cb3f0ace029bc144914804a8be;0 - earphone,earpiece,headphone,phone - 1d4f9c324d6388a9b904f4192b538029;0 - faucet,spigot - 1e2e11043b3d67d76621db2c3226f08;0 - file,file cabinet,filing cabinet - 1c319fc6985fc7cdb8405ecc20044969;0 - guitar - 7cf22bda34c2419de943333e8b45c296;0 - airplane,aeroplane,plane - 7317dec9c1cd67a815ce9e432a3a77b8;0 - jar - 2886e2026ed9da084b3c42e318f3affc;0 - train,railroad train - 3df90286fb1158115ae1d71af1bb3fed;0 - lamp - 418a6ed14b4571daa5af58528d00e4fc;0 - display,video display - 85240d0fdd8bc669ccf3727bc3da6c48;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - be5e0dbd5a8a589ca04f967bd94443cb;0 - vessel,watercraft - d651a1f3e02593772b23aad8ba1ba03a;0 - clock - 3b19d7b7f975a08abffc4b354a59e33a;0 - bag,traveling bag,travelling bag,grip,suitcase - 133c16fc6ca7d77676bb31db0358e9c6;0 - rifle - 7823da328516db23394e22ae6de2db18;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - af6fa396b2869446d4d8765e3910f617;0 - piano,pianoforte,forte-piano - ad905de0c46408bd6e4af8307559a06;0 - train,railroad train - 4bde97a6453c809adc14ba0818ee5cec;0 - cabinet - 9eada38b3a65963e30bbd4cddd04c77b;0 - table - ed6e26db873ded9573e85324169605dc;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 5948bd85a58330628de9f116e0231954;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 521fa79c95f4d3e26d9f55fbf45cc0c;0 - rifle - 404acdd4cbb0544eeab5ee569c9de1b1;0 - airplane,aeroplane,plane - 71a3888c2229715b694188e21796efaa;0 - chair - 4e9d664144f4249d8957917d005717e7;0 - sofa,couch,lounge - a207c52399b289be9657063f91d78d19;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 4f0173cf9b1472c37d4f87d95d70ab8;0 - table - ed73c41dcfe9170119cc3eaf35cd388f;0 - telephone,phone,telephone set - 3621cec4df1ddf421844676433a0aca;0 - telephone,phone,telephone set - a0efaa2ba04bf091adbfb30d8d1b297e;0 - knife - de69d6441bbf8d39230a4d129580843a;0 - train,railroad train - 506ebcdee663d5ba52470de2774d6099;0 - vessel,watercraft - ab6724e38aa593602a99899765aa8dc1;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - acd123e2a1fd25366cde9ab9486e09f0
5;0 - airplane,aeroplane,plane - 1e9ef313876bfba7d02c6d35cc802839;0 - pot,flowerpot - e9eb1e4250b5c727d0546e77f7d9b0d4;0 - cabinet - 688102337377c19d1d860ee2ad2a42e1;0 - basket,handbasket - 434194622dc684f81de9d8208aaa2d25;0 - bathtub,bathing tub,bath,tub - 545abe6ce52a927d3321831d2245cf06;0 - chair - 4785c094e81a5f8e3002761e7a3ba3bd;0 - bench - 8c387d5e8ca71237d2b12aa6a0f050b3;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 16ad8ba41b4caaf66a0a07a21e1bacf4;0 - cabinet - b12af552392f92b476e9713f57a5fcb6;0 - tower - 75f72747ea9ea6cc459aed24ffc76d42;0 - bowl - 2cfecc8ce6c7cd1f3497637ec59e0374;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - c88a4393e101d4e8b855cdc1bde1c5c9;0 - bathtub,bathing tub,bath,tub - 47ae345322c4add9f9c0f9cbb10e38a2;0 - bus,autobus,coach,charabanc,double-decker,jitney,motorbus,motorcoach,omnibus,passenger vehi - a7791bcc705e5a4ee9479f80dcbf204e;0 - can,tin,tin can - 25c253b2e40b6f4ea61649b05d63e9bb;0 - cap - 9c225cd8f50b7c353d9199581d0f4b4;0 - car,auto,automobile,machine,motorcar - 10fda5aa525f6232be8100817bfe3c8a;0 - chair - 47c04fe5c1f850b784cb23b18bd34686;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 394302e20816d0fa07828ee23920679;0 - computer keyboard,keypad - 657c0de244576d26add3e496533730f;0 - washer,automatic washer,washing machine - a7c8177faa40c43a87be36ce60737655;0 - cabinet - 452ef94b9cbd238dd869694b17a45f49;0 - lamp - 894cdb80665ba73dbfeb5b5bfc3dfc3b;0 - faucet,spigot - aee1330150624d22ef4cb84a0218bebe;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - ffd168e54f722339ef94793a67b4c5c0;0 - guitar - 148ac4fc49e8d965b48e9ff3519bfb40;0 - piano,pianoforte,forte-piano - 20cda8719140c1dafaf5a63e8f4fada;0 - jar - c5fda0e7168d23ed89035c25f0dfeb63;0 - vessel,watercraft - 8d53d8f4cacbff77853339423b00f029;0 - table - 5ac1ba406888f05e855931d119219022;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - e3f87ceed5c45b39eb0ce5843fe6b264;0 - jar - c8d8974642d4e88e906c240b881af04f;0 - airplane,aeroplane,plane - 552d76fdb54e5d57cf7cf1e30e2f5267;0 - tower - 927ee8b508cde67f5ac73f8a88a91040;0 - stove - 82cdf477807e2af5eb64c1003065596;0 - motorcycle,bike - ebd02a4811dbb91b594057aa2102e240;0 - ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin - ded74a76b1a4dc8ecb2a965e75be701c;0 - table - 9d5ffd7cc6f9084abd790f9b668aa24f;0 - train,railroad train - 826a31947264bb9abb8a744d2911bf5;0 - table - 16e874e6165e836b30bbd4cddd04c77b;0 - lamp - 19fc4044912f5cc4869594a32151bfdf;0 - washer,automatic washer,washing machine - 177501db32f76aa4a2ef01d38c90dbd6;0 - telephone,phone,telephone set - e633f997f4a47b2d727a08b50053320e;0 - rifle - c54be9902d947a1ef6fb0164eb28c4c2;0 - airplane,aeroplane,plane - 9a5d4e2d21506f11c503a3776fc280fe;0 - rifle - 9079c787f6d944d69a6e43b878d5b335;0 - sofa,couch,lounge - e3b28c9216617a638ab9d2d7b1d714;0 - loudspeaker,speaker,speaker unit,loudspeaker system,speaker system - 38e4bd990b3031bdfce87fb06e25db17;0 - table - f511c1d4356a6a7ac0a61ad1cf92b694;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - 3621cec4df1ddf421844676433a0aca;0 - cellular telephone,cellular phone,cellphone,cell,mobile phone - a0efaa2ba04bf091adbfb30d8d1b297e;0 - rocket,projectile - 9d6c3971491bd0de616ce6fe9495197c;0 - train,railroad train - 7addc3adeb16b62052470de2774d6099;0 - car,auto,automobile,machine,motorcar - b1ad30609c2fa8a2d63b3823877bfa70;0 - dishwasher,dish washer,dishwashing machine - fb15942e4096d8f0263a7f81856f9708
